# Accelerometer Data File
# Started @Tue Feb 21 16:58:22 PST 2023
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.004790957m/sec^2; Max Range: 156.99008; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: LOW
0.002 0.019 -0.027 2
0.019 -0.013 -0.024 3
-0.017 0.027 -0.022 2
-0.015 0.033 -0.032 3
-0.005 0.046 -0.003 2
-0.03 -0.005 0.057 2
0.024 -0.017 0.072 3
0.038 0.001 -0.007 2
-0.007 -0.02 -0.037 3
-0.032 -0.001 -0.037 2
-0.042 -0.009 -0.02 3
-0.016 0.008 0.037 2
-0.023 -0.026 0.007 3
0.008 -0.006 0.066 2
0.028 -0.006 0.008 3
0.077 0.02 -0.043 2
0.039 -0.037 -0.06 3
0.009 -0.012 -0.007 2
-0.033 0.01 -0.019 3
-0.008 0.082 0.008 2
0.039 0.044 -0.014 3
-0.007 -0.05 -0.021 2
-0.049 -0.019 0.002 3
0.04 0.021 -0.01 2
-0.018 -0.024 -0.061 2
-0.072 0.004 0.026 3
-0.026 0.042 0.049 2
-0.011 0.02 -0.007 3
0.002 0.018 0.002 2
-0.001 0.004 0.027 3
-0.031 -0.017 -0.022 2
-0.015 -0.033 -0.007 3
-0.009 -0.025 0.015 2
-0.008 0.002 0.035 3
0.017 0.049 0.014 2
0.028 0.019 0.012 3
0.034 -0.051 0.02 2
-0.003 -0.029 -0.007 3
-0.028 0.003 -0.015 2
-0.012 0.02 -0.039 3
0.031 0.001 -0.018 2
-0.002 -0.024 -0.042 3
-0.014 -0.005 -0.003 2
0.021 0.025 0.005 2
0.005 0.048 -0.012 3
-0.003 -0.003 -0.028 2
0.035 0.022 -0.012 3
-0.01 0.02 0.018 2
-0.009 0.022 -0.026 3
0.021 -0.104 0.01 2
-0.002 -0.059 -0.007 3
-0.036 0.019 0.032 2
0.018 0.052 -0.014 3
-0.004 0.021 -0.012 2
-0.038 0.001 0.022 3
0.021 0.023 0.024 2
-0.006 0.046 -0.016 3
-0.027 0.003 0.024 2
-0.002 -0.005 -0.025 3
-0.024 0.025 0.024 2
-0.008 0.005 0.004 3
0.009 0.004 -0.017 2
0.008 -0.017 0.018 2
0.037 -0.024 0.003 3
-0.009 -0.034 0.0 2
-0.021 -0.013 0.02 3
-0.006 0.004 0.031 2
0.054 0.051 0.011 3
0.01 0.063 0.031 2
0.005 0.04 0.019 3
-0.008 -0.015 -0.016 2
0.026 -0.022 -0.014 3
0.041 0.001 0.0 2
0.028 -0.059 0.016 3
-0.017 -0.014 -0.027 2
-0.028 0.004 -0.02 3
0.004 0.054 0.02 2
-0.021 -0.019 -0.003 3
-0.028 0.017 0.031 2
-0.033 0.028 0.015 3
-0.008 0.004 -0.033 2
0.013 0.003 -0.013 2
0.012 0.011 -0.024 3
0.002 0.002 -0.013 2
0.019 0.014 0.013 3
-0.021 -0.012 -0.013 2
0.006 0.006 -0.016 3
0.044 0.031 0.01 2
-0.011 0.006 0.027 3
0.002 0.001 -0.052 2
0.027 0.001 -0.043 3
-0.021 -0.046 0.051 2
0.01 -0.05 0.059 3
0.051 -0.027 0.005 2
0.02 -0.029 0.013 3
-0.019 -0.052 -0.004 2
-0.013 0.039 0.012 3
-0.02 0.017 -0.022 2
-0.001 0.016 -0.007 3
0.011 -0.05 -0.006 2
-0.045 0.01 -0.019 2
-0.04 -0.024 0.017 3
0.006 0.0 -0.023 2
0.009 -0.004 -0.033 3
-0.025 0.012 -0.073 2
-0.014 0.028 -0.031 3
0.034 -0.017 0.01 2
0.026 -0.041 0.004 3
-0.005 -0.024 -0.012 2
-0.022 0.029 -0.028 3
-0.033 0.001 0.012 2
-0.021 0.022 -0.005 3
-0.01 0.071 0.003 2
0.046 0.0 0.011 3
0.019 -0.004 0.032 2
-0.003 -0.016 0.024 3
0.005 -0.019 0.03 2
-0.011 0.03 0.027 3
0.027 -0.003 -0.026 2
0.011 -0.028 0.001 2
0.014 0.043 0.01 3
0.017 0.012 -0.003 2
0.033 -0.009 0.018 3
0.016 -0.026 -0.056 2
0.015 0.023 -0.008 3
0.0 -0.004 0.04 2
-0.007 0.009 0.023 3
-0.015 0.008 0.089 2
-0.005 -0.005 0.042 3
-0.013 -0.035 -0.018 2
0.0 0.002 -0.033 3
-0.003 0.015 -0.051 2
-0.003 -0.024 -0.029 3
0.014 0.033 0.008 2
-0.004 0.038 0.007 3
-0.003 -0.016 0.028 2
0.001 -0.006 -0.051 3
-0.024 0.011 -0.004 2
-0.052 0.018 0.013 2
-0.051 -0.017 0.055 3
-0.033 -0.024 0.032 2
-0.025 0.012 0.0 3
-0.04 -0.005 0.068 2
-0.01 0.007 0.069 3
0.007 -0.04 0.058 2
0.011 0.044 -0.037 3
0.04 0.036 -0.085 2
-0.006 0.002 -0.029 3
-0.001 -0.04 0.025 2
0.015 -0.032 0.005 3
0.018 -0.007 -0.042 2
0.025 0.014 -0.042 3
-0.011 -0.021 -0.034 2
0.015 0.006 0.008 3
0.013 -0.006 -0.043 2
0.016 0.011 0.003 3
0.014 0.01 0.041 2
0.043 -0.012 -0.005 2
0.03 -0.019 -0.018 3
-0.002 -0.017 0.0 2
0.01 0.027 -0.033 3
0.013 0.015 0.012 2
-0.026 -0.024 0.015 3
-0.036 -0.03 -0.015 2
0.023 0.019 0.015 3
0.007 0.004 0.065 2
0.007 -0.008 -0.031 3
-0.015 -0.029 -0.057 2
0.012 0.029 -0.005 3
0.023 0.039 0.004 2
-0.021 0.001 -0.017 3
0.027 -0.011 0.031 2
0.007 -0.019 0.036 3
-0.023 -0.026 -0.001 2
-0.016 0.006 -0.001 3
-0.01 0.019 -0.009 2
-0.005 0.038 0.0 2
-0.013 0.013 -0.004 3
-0.063 0.0 -0.016 2
-0.018 -0.005 0.006 3
0.017 0.003 0.005 2
0.007 -0.043 0.026 3
-0.014 -0.004 -0.001 2
0.012 0.017 -0.005 3
0.019 -0.023 -0.022 2
-0.003 -0.016 -0.028 3
0.035 -0.045 0.029 2
-0.002 -0.023 -0.029 3
0.01 0.064 -0.038 2
0.005 0.011 0.007 3
0.0 0.001 -0.023 2
0.026 0.014 0.009 3
0.006 -0.008 0.021 2
0.001 -0.016 -0.015 3
0.009 -0.019 0.0 2
-0.016 -0.008 -0.017 2
-0.01 0.026 0.009 3
-0.009 0.011 0.017 2
-0.043 -0.028 -0.005 3
-0.021 -0.051 -0.001 2
0.019 0.005 0.024 3
0.008 -0.029 -0.012 2
-0.035 -0.052 -0.04 3
-0.027 0.008 -0.088 2
0.009 0.058 0.04 3
-0.025 0.027 0.023 2
-0.027 0.0 0.03 3
0.009 -0.013 0.039 2
0.03 -0.012 0.044 3
0.027 -0.028 0.001 2
0.015 0.021 0.018 3
0.035 -0.014 0.046 2
-0.006 0.025 0.016 3
-0.014 0.014 -0.006 2
-0.008 -0.047 -0.006 2
0.018 0.008 0.028 3
-0.031 -0.004 -0.004 2
0.014 -0.021 -0.025 3
0.021 0.015 0.011 2
0.002 -0.02 -0.011 3
0.014 -0.014 -0.009 2
0.03 0.008 0.038 3
-0.002 0.0 0.038 2
-0.006 0.042 -0.051 3
0.007 0.029 -0.05 2
0.01 0.043 -0.032 3
-0.012 -0.003 -0.016 2
-0.023 -0.029 0.028 3
0.013 0.025 0.017 2
-0.001 -0.007 -0.014 3
-0.009 -0.006 -0.009 2
-0.038 0.045 -0.008 3
0.003 0.045 0.027 2
0.033 -0.01 -0.001 2
0.013 0.016 -0.04 3
0.02 -0.041 -0.01 2
0.018 -0.024 0.012 3
-0.022 0.003 0.015 2
-0.024 0.02 -0.024 3
-0.004 0.022 -0.035 2
0.004 0.016 0.019 3
-0.008 -0.067 -0.029 2
-0.012 0.0 -0.004 3
0.014 -0.013 0.042 2
-0.004 0.005 -0.008 3
-0.016 0.017 0.0 2
-0.04 0.037 -0.016 3
-0.032 0.02 0.023 2
0.018 0.018 -0.021 3
-0.022 -0.017 0.006 2
-0.002 -0.045 -0.007 3
-0.015 -0.002 -0.01 2
-0.035 -0.01 -0.039 2
-0.027 0.007 0.041 3
-0.02 0.019 -0.001 2
0.007 0.047 -0.018 3
0.028 0.0 0.0 2
0.021 -0.047 -0.003 3
0.036 0.017 0.013 2
0.028 0.007 0.012 3
0.0 0.019 0.006 2
-0.026 0.06 -0.015 3
-0.015 0.011 0.041 2
0.008 -0.024 0.037 3
0.02 0.017 0.064 2
-0.003 0.011 0.006 3
0.001 -0.015 -0.05 2
-0.016 -0.022 -0.079 3
-0.023 0.022 0.023 2
-0.033 -0.031 0.0 3
0.017 -0.067 -0.005 2
0.028 -0.017 -0.004 2
0.016 -0.037 -0.012 3
0.006 -0.007 -0.028 2
-0.02 0.019 0.0 3
0.007 0.012 -0.03 2
0.024 0.015 -0.031 3
-0.008 0.031 -0.032 2
-0.003 0.036 0.035 3
-0.028 -0.057 0.036 2
-0.021 -0.034 -0.006 3
0.006 -0.009 -0.009 2
-0.002 0.013 0.021 3
0.027 0.05 0.014 2
-0.039 0.032 0.086 3
-0.005 -0.018 0.051 2
0.02 -0.037 0.003 3
-0.024 0.0 -0.026 2
0.0 0.03 -0.032 3
0.029 0.014 0.0 2
0.03 -0.008 -0.046 2
0.01 0.031 0.001 3
-0.029 0.006 0.047 2
0.0 0.001 0.0 3
0.017 -0.028 -0.042 2
0.027 -0.012 0.021 3
0.024 0.031 0.015 2
0.01 0.062 -0.016 3
0.009 0.009 -0.023 2
0.0 -0.03 -0.029 3
0.021 -0.018 0.003 2
0.032 -0.064 -0.052 3
0.007 0.011 -0.013 2
0.006 -0.028 0.031 3
-0.006 -0.06 0.023 2
0.019 0.023 -0.004 3
0.047 0.012 -0.003 2
0.004 -0.006 0.03 3
0.003 -0.022 0.019 2
-0.022 -0.024 -0.059 2
-0.033 0.033 -0.019 3
-0.042 -0.004 -0.038 2
-0.008 0.013 0.016 3
-0.007 0.007 0.04 2
-0.006 -0.01 0.032 3
0.006 -0.004 0.024 2
0.01 -0.008 -0.008 3
-0.007 0.051 0.035 2
-0.036 0.055 0.015 3
-0.058 -0.001 0.017 2
0.019 0.028 -0.018 3
-0.016 0.047 -0.02 2
-0.018 -0.021 0.019 3
0.004 0.027 -0.024 2
-0.034 -0.017 -0.022 3
-0.057 0.043 0.009 2
0.03 0.022 -0.02 3
0.031 0.002 -0.031 2
-0.014 -0.005 -0.003 2
0.016 -0.043 0.04 3
0.027 -0.048 -0.019 2
-0.021 -0.034 -0.013 3
-0.019 0.045 0.052 2
0.0 -0.009 0.029 3
-0.013 0.003 0.026 2
0.052 -0.048 0.037 3
0.012 -0.017 0.016 2
-0.009 -0.032 0.018 3
0.02 -0.012 0.0 2
0.014 0.001 -0.029 3
-0.008 0.026 -0.044 2
0.001 0.028 -0.013 3
0.001 0.004 0.043 2
-0.003 -0.008 0.025 3
0.001 -0.012 -0.002 2
0.039 -0.002 0.027 3
-0.019 0.018 -0.043 2
-0.017 0.004 -0.03 2
0.014 -0.038 -0.01 3
-0.021 -0.022 -0.001 2
-0.019 -0.041 0.011 3
0.008 -0.007 0.01 2
-0.001 0.027 0.035 3
-0.005 0.046 -0.027 2
-0.026 0.015 0.008 3
0.031 -0.067 -0.004 2
0.016 0.029 0.047 3
0.044 0.001 0.021 2
-0.002 -0.003 0.014 3
0.01 0.026 -0.033 2
0.005 0.011 -0.013 3
0.038 0.023 -0.011 2
-0.007 0.033 -0.027 3
-0.011 -0.025 0.008 2
0.019 -0.035 -0.004 3
-0.012 -0.019 -0.003 2
0.006 -0.068 0.013 2
-0.007 -0.001 -0.009 3
-0.015 0.002 -0.025 2
0.012 -0.019 -0.031 3
-0.01 -0.021 -0.002 2
