# Accelerometer Data File
# Started @Wed Sep 20 13:23:02 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.077 0.244 9.873 5
-0.082 0.237 9.824 4
-0.083 0.235 9.822 5
-0.07 0.263 9.832 5
-0.072 0.24 9.806 6
-0.046 0.241 9.813 4
-0.062 0.272 9.832 5
-0.063 0.246 9.855 5
-0.073 0.238 9.816 5
-0.069 0.253 9.863 5
-0.06 0.251 9.828 5
-0.069 0.231 9.829 5
-0.062 0.214 9.802 5
-0.079 0.214 9.832 5
-0.071 0.226 9.84 5
-0.064 0.231 9.853 5
-0.061 0.24 9.865 5
-0.06 0.229 9.827 5
-0.077 0.225 9.844 4
-0.079 0.224 9.841 5
-0.066 0.234 9.817 7
-0.064 0.228 9.864 3
-0.056 0.218 9.848 5
-0.071 0.213 9.87 5
-0.057 0.214 9.858 5
-0.068 0.204 9.853 6
-0.062 0.233 9.812 4
-0.079 0.25 9.84 5
-0.062 0.228 9.831 5
-0.083 0.238 9.816 5
-0.083 0.24 9.828 5
-0.083 0.241 9.838 5
-0.072 0.22 9.844 5
-0.079 0.21 9.845 5
-0.059 0.237 9.858 5
-0.058 0.223 9.859 5
-0.059 0.253 9.849 4
-0.075 0.254 9.844 5
-0.075 0.237 9.87 5
-0.067 0.233 9.847 5
-0.046 0.207 9.842 5
-0.066 0.215 9.865 5
-0.079 0.228 9.85 5
-0.095 0.241 9.855 5
-0.082 0.22 9.851 5
-0.051 0.216 9.815 5
-0.073 0.228 9.865 5
-0.073 0.237 9.856 5
-0.083 0.235 9.865 5
-0.077 0.246 9.847 5
-0.065 0.229 9.849 5
-0.067 0.238 9.83 5
-0.083 0.234 9.844 5
-0.076 0.225 9.844 5
-0.084 0.226 9.813 5
-0.07 0.231 9.818 4
-0.076 0.209 9.856 6
-0.058 0.225 9.868 4
-0.053 0.226 9.841 5
-0.04 0.231 9.865 5
-0.046 0.24 9.829 5
-0.031 0.229 9.829 6
-0.034 0.208 9.868 4
-0.035 0.201 9.853 5
-0.031 0.237 9.847 5
-0.067 0.22 9.848 5
-0.071 0.233 9.832 5
-0.068 0.234 9.806 5
-0.05 0.233 9.837 5
-0.039 0.256 9.856 5
-0.029 0.244 9.825 4
-0.036 0.253 9.825 5
-0.056 0.238 9.841 5
-0.068 0.214 9.849 5
-0.082 0.234 9.823 5
-0.08 0.229 9.856 5
-0.076 0.251 9.848 5
-0.071 0.261 9.826 5
-0.05 0.227 9.846 5
-0.05 0.208 9.823 5
-0.06 0.216 9.832 5
